"address","max_interval","avg_interval","std_interval"
"3ELWDgQJaa4XaLo5vzAzUg5axJ8GRRFBiK",0,0E-20,0
"1N6vKgXN2UASwLjtdp6Y3f68ff2YKPKcVR",0,0E-20,0
"1AbQfr37DVUzFvdhhLEajWtYZjKn7EkATm",4949,2474.5000000000000000,2474.500000000000
"1GHELpVnDE3pHbYKEF5WZHgnTnMQMzyftF",0,0E-20,0
"1NGje6YLqxNxELRNoEMYSRHnNaf4qxdphS",0,0E-20,0
"1Q71uH93eHKUtdqBVZxMRFypegQDeVfqzS",0,0E-20,0
"3JuXhHrk4pdR2jU6TL1AoBqrUkMgsnPpxc",0,0E-20,0
"3R26fQB3o3fiFhCRuL9f5ohNcZnmmta4KD",0,0E-20,0
"1JDdoQibvnpK3Dvo3rhEYNXDUoVEhwwphA",909,454.5000000000000000,454.500000000000
"3K4mxvdY55RmM6ofeikugK7mqbRwPwQzcS",0,0E-20,0
"19iuszYbSiV8d2NvKse8NhTfyhgSYfd2Aa",1216,405.3333333333333333,573.227897281895
"37YTfC55PqtHC7cBnTWQgnSyDZvCfFb2nu",0,0E-20,0
"19fjKgLTVNDm49z3TmXJQY7AD9PWRDJG5J",0,0E-20,0
"1FzfhRFkpLk1M6yBXnEsAR4AxkaVqHRJf6",0,0E-20,0
"1C3dDTLjskHcV9NDseUfAdS7fKs7Xd19RW",0,0E-20,0
"36k9nJTniyhiro3W8az3WKqgJqhtLHJ8H3",0,0E-20,0
"1MKogif33pEH5P1pJVfZMSWz8jdB7m1WLN",0,0E-20,0
"1F2JcptjKxyfNVcG7mtTQtyaT6kSrr7tu7",1345,538.7500000000000000,534.311882237331
"3Azmub3eyiL7ocTDSwcT1SJ3z9MjUz2Xmw",0,0E-20,0
"1Nsf3cRcVGGBfPxL3EZyMbCLqJedGq3HMt",0,0E-20,0
"1AY7tBM3Z5YeEU5EfLjv68dhKVAEVrqnvp",6826,1366.0000000000000000,2730.000439560404
"1GvzV3Q62U9kBUUGT8yaBSfXo5Yti4qcbQ",0,0E-20,0
"1P3fAPJgbyhEaAj2qk8BD7SUGMxaQSBHjq",0,0E-20,0
"1HxqxE8o71zeriVZ9vBKvKW73GrNKEWmvr",6827,1707.0000000000000000,2956.033406441815
"1LJbBz3URRZyyZWNU7pZVNEPqsE1S8gHRo",0,0E-20,0
"1CMXEDFMvTYsYjNmF1rXE75ULJ8CQUEkpN",0,0E-20,0
