"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"1F8EaTGjd1N7Tj61MzM72hREfaHuTpyVUR","3","75842618","38623477","6199862","25280872.666666666667","223","19","121.6666666666666667","0","0","0.00000000000000000000"
"1F8ecfVN6EpYLNnCfgHTTx8FDggyDsbA4M","2","1092","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F8eghs8ooQVeXSBjkgKyoqd6m8W6HFgVd","4","65520","16380","16380","16380.000000000000","0","0","0.00000000000000000000","2","1","1.5000000000000000"
"1F8eiaNS4ceSsuXa5g4CcUbzWion3LzXdv","1","17000000","17000000","17000000","17000000.000000000000","98","98","98.0000000000000000","0","0","0.00000000000000000000"
"1F8eX1ukQuNt64NGyyhsrZmRjV5c7ZsQvi","1","772612","772612","772612","772612.000000000000","49","49","49.0000000000000000","41","41","41.0000000000000000"
"1F8FeoLZZKDxnQ7MCt1GmTuYkNDeAHMHNM","9","39586101","11140745","1013293","4398455.666666666667","651","51","424.2222222222222222","5","0","0.55555555555555555556"
"1F8FppYL6KDM1DvqKsvaaFJiMGiPKaY7aR","1","2465411","2465411","2465411","2465411.000000000000","57","57","57.0000000000000000","1","1","1.00000000000000000000"
"1F8FZVAr7Yo25vEdoFUbh9CM2ESR9LHLGv","1","2245296","2245296","2245296","2245296.000000000000","2","2","2.0000000000000000","0","0","0.00000000000000000000"
"1F8GKg76YXMezZntW3mYF6Jx6RXqzEVfhB","2","72490268","55700000","16790268","36245134.000000000000","27","9","18.0000000000000000","35","2","18.5000000000000000"
"1F8gL39X4y8MkRcnPumGnjyE14wEyHgzwF","1","390000","390000","390000","390000.000000000000","143","143","143.0000000000000000","1","1","1.00000000000000000000"
"1F8gMoTjUrUcJa5YqRroACRCtdHukbPH7z","1","3315686","3315686","3315686","3315686.000000000000","69","69","69.0000000000000000","0","0","0.00000000000000000000"
"1F8gTPhNpVBRJQiRgW4mB7hgThBBikmDxS","1","885722","885722","885722","885722.000000000000","28","28","28.0000000000000000","0","0","0.00000000000000000000"
"1F8GZP5k1BvLgwFgk7kJtFYwUnWY7ZmQJV","1","3800000","3800000","3800000","3800000.000000000000","165","165","165.0000000000000000","0","0","0.00000000000000000000"
